Time(s),Torque,signal_0,signal_1,signal_2
2.79,0.114774115,-1.0,-0.1,21.700000000000003
2.79,0.11965812,-1.0,-0.1,21.700000000000003
2.79,0.11965812,-1.0,-0.1,21.700000000000003
2.8,0.114774115,-1.0,-0.1,21.700000000000003
2.8,0.10989011,-1.0,-0.1,21.700000000000003
2.8,0.10989011,-1.0,-0.1,21.700000000000003
2.8,0.114774115,-1.0,-0.1,21.700000000000003
2.8,0.1001221,-1.0,-0.1,21.700000000000003
2.8,0.105006106,-1.0,-0.1,21.700000000000003
2.8,0.0952381,-1.0,-0.1,21.700000000000003
2.8,0.0952381,-1.0,-0.1,21.700000000000003
2.81,0.1001221,-1.0,-0.1,21.700000000000003
2.81,0.08058608,-1.0,-0.1,21.700000000000003
2.81,0.08058608,-1.0,-0.1,21.700000000000003
2.81,0.08058608,-1.0,-0.1,21.700000000000003
2.81,0.07570208,-1.0,-0.1,21.700000000000003
2.81,0.070818074,-1.0,-0.1,21.700000000000003
2.81,0.070818074,-1.0,-0.1,21.700000000000003
2.81,0.06105006,-1.0,-0.1,21.700000000000003
2.81,0.056166057,-1.0,-0.1,21.700000000000003
2.82,0.056166057,-1.0,-0.1,21.700000000000003
2.82,0.056166057,-1.0,-0.1,21.700000000000003
2.82,0.051282052,-1.0,-0.1,21.700000000000003
2.82,0.041514043,-1.0,-0.1,21.700000000000003
2.82,0.03663004,-1.0,-0.1,21.700000000000003
2.82,0.03663004,-1.0,-0.1,21.700000000000003
2.82,0.03663004,-1.0,-0.1,21.700000000000003
2.82,0.03663004,-1.0,-0.1,21.700000000000003
2.83,0.026862027,-1.0,-0.1,21.700000000000003
2.83,0.021978023,-1.0,-0.1,21.700000000000003
2.83,0.017094018,-1.0,-0.1,21.700000000000003
2.83,0.017094018,-1.0,-0.1,21.6
2.83,0.021978023,-1.0,-0.1,21.6
2.83,0.017094018,-1.0,-0.1,21.6
2.83,0.017094018,-1.0,-0.1,21.6
2.83,0.012210012,-1.0,-0.1,21.6
2.83,0.0073260074,-1.0,-0.1,21.6
2.83,0.0073260074,-1.0,-0.1,21.6
2.84,0.0073260074,-1.0,-0.1,21.6
2.84,0.0073260074,-1.0,-0.1,21.6
2.84,0.0073260074,-1.0,-0.1,21.6
2.84,0.0024420025,-1.0,-0.1,21.6
2.84,0.0024420025,-1.0,-0.1,21.6
2.84,0.0024420025,-1.0,-0.1,21.6
2.84,0.0024420025,-1.0,-0.1,21.6
2.84,0.0024420025,-1.0,-0.1,21.6
2.84,0.0073260074,-1.0,-0.1,21.6
2.84,0.0073260074,-1.0,-0.1,21.6
2.85,0.0024420025,-1.0,-0.1,21.6
2.85,0.0024420025,-1.0,-0.1,21.6
2.85,0.0024420025,-1.0,-0.1,21.6
2.85,0.0073260074,-1.0,-0.1,21.6
2.85,0.0073260074,-1.0,-0.1,21.6
2.85,0.012210012,-1.0,-0.1,21.6
2.85,0.0073260074,-1.0,-0.1,21.6
2.85,0.017094018,-1.0,-0.1,21.6
2.85,0.012210012,-1.0,-0.1,21.6
2.86,0.017094018,-1.0,-0.1,21.6
2.86,0.017094018,-1.0,-0.1,21.6
2.86,0.017094018,-1.0,-0.1,21.6
2.86,0.021978023,-1.0,-0.1,21.6
2.86,0.021978023,-1.0,-0.1,21.6
2.86,0.026862027,-1.0,-0.1,21.6
2.86,0.026862027,-1.0,-0.1,21.6
2.86,0.031746034,-1.0,-0.1,21.6
2.86,0.03663004,-1.0,-0.1,21.6
2.86,0.03663004,-1.0,-0.1,21.6
2.86,0.03663004,-1.0,-0.1,21.6
2.87,0.041514043,-1.0,-0.1,21.6
2.87,0.046398047,-1.0,-0.1,21.6
2.87,0.041514043,-1.0,-0.1,21.6
2.87,0.041514043,-1.0,-0.1,21.6
2.87,0.051282052,-1.0,-0.1,21.6
2.87,0.051282052,-1.0,-0.1,21.6
2.87,0.056166057,-1.0,-0.1,21.6
2.87,0.06105006,-1.0,-0.1,21.6
2.87,0.056166057,-1.0,-0.1,21.6
2.87,0.06105006,-1.0,-0.1,21.6
2.88,0.06105006,-1.0,-0.1,21.6
2.88,0.06105006,-1.0,-0.1,21.6
2.88,0.06593407,-1.0,-0.1,21.6
2.88,0.06593407,-1.0,-0.1,21.6
2.88,0.06593407,-1.0,-0.1,21.6
2.88,0.06593407,-1.0,-0.1,21.6
2.88,0.07570208,-1.0,-0.1,21.6
2.88,0.07570208,-1.0,-0.1,21.6
2.88,0.07570208,-1.0,-0.1,21.6
2.88,0.08058608,-1.0,-0.1,21.6
2.89,0.08058608,-1.0,-0.1,21.6
